nohup: ignoring input
2020-03-08 12:14:11 INFO: At 1-th epoch.
2020-03-08 12:16:47 DEBUG: g loss at batch 203: 11.494, batch size: 233, lr=0.001
2020-03-08 12:16:48 DEBUG: g loss at batch 204: 11.486, batch size: 233, lr=0.001
2020-03-08 12:16:49 DEBUG: g loss at batch 205: 11.498, batch size: 233, lr=0.001
2020-03-08 12:16:49 DEBUG: g loss at batch 206: 11.491, batch size: 233, lr=0.001
2020-03-08 12:16:50 DEBUG: g loss at batch 207: 11.485, batch size: 233, lr=0.001
2020-03-08 12:16:51 DEBUG: g loss at batch 208: 11.478, batch size: 233, lr=0.001
2020-03-08 12:16:51 DEBUG: g loss at batch 209: 11.473, batch size: 234, lr=0.001
2020-03-08 12:16:52 DEBUG: g loss at batch 210: 11.475, batch size: 234, lr=0.001
2020-03-08 12:16:53 DEBUG: g loss at batch 211: 11.470, batch size: 234, lr=0.001
2020-03-08 12:16:53 DEBUG: g loss at batch 212: 11.464, batch size: 234, lr=0.001
2020-03-08 12:16:54 DEBUG: g loss at batch 213: 11.447, batch size: 234, lr=0.001
2020-03-08 12:16:55 DEBUG: g loss at batch 214: 11.434, batch size: 234, lr=0.001
2020-03-08 12:16:55 DEBUG: g loss at batch 215: 11.426, batch size: 234, lr=0.001
2020-03-08 12:16:56 DEBUG: g loss at batch 216: 11.440, batch size: 233, lr=0.001
2020-03-08 12:16:57 DEBUG: g loss at batch 217: 11.435, batch size: 233, lr=0.001
2020-03-08 12:16:57 DEBUG: g loss at batch 218: 11.435, batch size: 233, lr=0.001
2020-03-08 12:16:58 DEBUG: g loss at batch 219: 11.422, batch size: 233, lr=0.001
2020-03-08 12:16:58 DEBUG: g loss at batch 220: 11.417, batch size: 233, lr=0.001
2020-03-08 12:16:59 DEBUG: g loss at batch 221: 11.414, batch size: 233, lr=0.001
2020-03-08 12:17:00 DEBUG: g loss at batch 222: 11.406, batch size: 233, lr=0.001
2020-03-08 12:17:00 DEBUG: g loss at batch 223: 11.399, batch size: 234, lr=0.001
2020-03-08 12:17:01 DEBUG: g loss at batch 224: 11.392, batch size: 234, lr=0.001
2020-03-08 12:17:02 DEBUG: g loss at batch 225: 11.390, batch size: 234, lr=0.001
2020-03-08 12:17:02 DEBUG: g loss at batch 226: 11.392, batch size: 234, lr=0.001
2020-03-08 12:17:03 DEBUG: g loss at batch 227: 11.384, batch size: 234, lr=0.001
2020-03-08 12:17:04 DEBUG: g loss at batch 228: 11.373, batch size: 234, lr=0.001
2020-03-08 12:17:04 DEBUG: g loss at batch 229: 11.368, batch size: 234, lr=0.001
2020-03-08 12:17:05 DEBUG: g loss at batch 230: 11.361, batch size: 234, lr=0.001
